== Defect Detection in Semiconductor Wafers Using Image Classification ==
[i] Loading dataset from file
[i] Initializing model
[i] Using device: cuda
[i] Prepare dataloader
[i] Beginning training loop
Epoch [1/150], 	Loss: 0.8561, Accuracy: 0.5689
Epoch [56/150], 	Loss: 0.4935, Accuracy: 0.7178
Epoch [57/150], 	Loss: 0.4919, Accuracy: 0.7227
Epoch [58/150], 	Loss: 0.5005, Accuracy: 0.7150
Epoch [59/150], 	Loss: 0.4941, Accuracy: 0.7161
Epoch [60/150], 	Loss: 0.4958, Accuracy: 0.7182
Epoch [61/150], 	Loss: 0.4949, Accuracy: 0.7180
Epoch [62/150], 	Loss: 0.4986, Accuracy: 0.7177
Epoch [63/150], 	Loss: 0.4876, Accuracy: 0.7169
Epoch [64/150], 	Loss: 0.4966, Accuracy: 0.7193
Epoch [65/150], 	Loss: 0.4937, Accuracy: 0.7211
Epoch [66/150], 	Loss: 0.4942, Accuracy: 0.7207
Epoch [67/150], 	Loss: 0.4950, Accuracy: 0.7196
Epoch [68/150], 	Loss: 0.4843, Accuracy: 0.7207
Epoch [69/150], 	Loss: 0.4833, Accuracy: 0.7212
Epoch [70/150], 	Loss: 0.4951, Accuracy: 0.7211
Epoch [71/150], 	Loss: 0.4888, Accuracy: 0.7211
Epoch [72/150], 	Loss: 0.4922, Accuracy: 0.7205
Epoch [73/150], 	Loss: 0.4871, Accuracy: 0.7205
Epoch [74/150], 	Loss: 0.4896, Accuracy: 0.7230
Epoch [75/150], 	Loss: 0.4931, Accuracy: 0.7210
Epoch [76/150], 	Loss: 0.4865, Accuracy: 0.7277
Epoch [77/150], 	Loss: 0.4883, Accuracy: 0.7236
Epoch [78/150], 	Loss: 0.4799, Accuracy: 0.7278
Epoch [79/150], 	Loss: 0.4795, Accuracy: 0.7251
Epoch [80/150], 	Loss: 0.4838, Accuracy: 0.7226
Epoch [81/150], 	Loss: 0.4859, Accuracy: 0.7234
Epoch [82/150], 	Loss: 0.4835, Accuracy: 0.7244
Epoch [83/150], 	Loss: 0.4772, Accuracy: 0.7273
Epoch [84/150], 	Loss: 0.4858, Accuracy: 0.7253
Epoch [85/150], 	Loss: 0.4791, Accuracy: 0.7251
Epoch [86/150], 	Loss: 0.4867, Accuracy: 0.7224
Epoch [87/150], 	Loss: 0.4743, Accuracy: 0.7265
Epoch [88/150], 	Loss: 0.4839, Accuracy: 0.7266
Epoch [89/150], 	Loss: 0.4790, Accuracy: 0.7280
Epoch [90/150], 	Loss: 0.4780, Accuracy: 0.7303
Epoch [91/150], 	Loss: 0.4769, Accuracy: 0.7317
Epoch [92/150], 	Loss: 0.4771, Accuracy: 0.7275
Epoch [93/150], 	Loss: 0.4863, Accuracy: 0.7242
Epoch [94/150], 	Loss: 0.4707, Accuracy: 0.7304
Epoch [95/150], 	Loss: 0.4770, Accuracy: 0.7296
Epoch [96/150], 	Loss: 0.4783, Accuracy: 0.7320
Epoch [97/150], 	Loss: 0.4795, Accuracy: 0.7263
Epoch [98/150], 	Loss: 0.4730, Accuracy: 0.7325
Epoch [99/150], 	Loss: 0.4751, Accuracy: 0.7300
Epoch [100/150], 	Loss: 0.4722, Accuracy: 0.7325
Epoch [101/150], 	Loss: 0.4651, Accuracy: 0.7350
Epoch [102/150], 	Loss: 0.4725, Accuracy: 0.7313
Epoch [103/150], 	Loss: 0.4719, Accuracy: 0.7294
Epoch [104/150], 	Loss: 0.4667, Accuracy: 0.7346
Epoch [105/150], 	Loss: 0.4768, Accuracy: 0.7336
Epoch [106/150], 	Loss: 0.4693, Accuracy: 0.7336
Epoch [107/150], 	Loss: 0.4709, Accuracy: 0.7309
Epoch [108/150], 	Loss: 0.4720, Accuracy: 0.7296
Epoch [109/150], 	Loss: 0.4751, Accuracy: 0.7296
Epoch [110/150], 	Loss: 0.4717, Accuracy: 0.7330
Epoch [111/150], 	Loss: 0.4694, Accuracy: 0.7367
Epoch [112/150], 	Loss: 0.4713, Accuracy: 0.7324
Epoch [113/150], 	Loss: 0.4695, Accuracy: 0.7340
Epoch [114/150], 	Loss: 0.4657, Accuracy: 0.7385
Epoch [115/150], 	Loss: 0.4701, Accuracy: 0.7350
Epoch [116/150], 	Loss: 0.4748, Accuracy: 0.7319
Epoch [117/150], 	Loss: 0.4686, Accuracy: 0.7362
Epoch [118/150], 	Loss: 0.4640, Accuracy: 0.7371
Epoch [119/150], 	Loss: 0.4607, Accuracy: 0.7353
Epoch [120/150], 	Loss: 0.4528, Accuracy: 0.7414
Epoch [121/150], 	Loss: 0.4634, Accuracy: 0.7410
Epoch [122/150], 	Loss: 0.4604, Accuracy: 0.7406
Epoch [123/150], 	Loss: 0.4580, Accuracy: 0.7401
Epoch [124/150], 	Loss: 0.4618, Accuracy: 0.7361
Epoch [125/150], 	Loss: 0.4503, Accuracy: 0.7430
Epoch [126/150], 	Loss: 0.4606, Accuracy: 0.7380
Epoch [127/150], 	Loss: 0.4542, Accuracy: 0.7442
Epoch [128/150], 	Loss: 0.4638, Accuracy: 0.7379
Epoch [129/150], 	Loss: 0.4591, Accuracy: 0.7396
Epoch [130/150], 	Loss: 0.4526, Accuracy: 0.7428
Epoch [131/150], 	Loss: 0.4622, Accuracy: 0.7410
Epoch [132/150], 	Loss: 0.4531, Accuracy: 0.7434
Epoch [133/150], 	Loss: 0.4654, Accuracy: 0.7364
Epoch [134/150], 	Loss: 0.4661, Accuracy: 0.7362
Epoch [135/150], 	Loss: 0.4606, Accuracy: 0.7393
Epoch [136/150], 	Loss: 0.4603, Accuracy: 0.7395
Epoch [137/150], 	Loss: 0.4582, Accuracy: 0.7401
Epoch [138/150], 	Loss: 0.4604, Accuracy: 0.7399
Epoch [139/150], 	Loss: 0.4558, Accuracy: 0.7404
Epoch [140/150], 	Loss: 0.4507, Accuracy: 0.7450
Epoch [141/150], 	Loss: 0.4479, Accuracy: 0.7472
Epoch [142/150], 	Loss: 0.4602, Accuracy: 0.7398
Epoch [143/150], 	Loss: 0.4550, Accuracy: 0.7426
Epoch [144/150], 	Loss: 0.4610, Accuracy: 0.7403
Epoch [145/150], 	Loss: 0.4584, Accuracy: 0.7387
Epoch [146/150], 	Loss: 0.4579, Accuracy: 0.7400
Epoch [147/150], 	Loss: 0.4605, Accuracy: 0.7378
Epoch [148/150], 	Loss: 0.4571, Accuracy: 0.7431
Epoch [149/150], 	Loss: 0.4573, Accuracy: 0.7420
Epoch [150/150], 	Loss: 0.4514, Accuracy: 0.7431
[i] Model training complete and saved.
[i] Total training time: 01:26:30
[i] Running model on test set
	Accuracy: 72.8528%
	F1 Score: 0.7195
	Avg Inference Time/batch: 0.0065 seconds
	Per-Class Accuracy Report:
              precision    recall  f1-score   support

   Edge-Ring       0.88      0.74      0.81      1126
      Center       0.67      0.78      0.72       832
    Edge-Loc       0.69      0.91      0.79      2772
         Loc       0.73      0.52      0.61      1973
      Random       0.86      0.77      0.81       257
     Scratch       0.75      0.55      0.64       693
       Donut       0.45      0.27      0.33       146
   Near-full       0.87      0.92      0.89        95

    accuracy                           0.73      7894
   macro avg       0.74      0.68      0.70      7894
weighted avg       0.74      0.73      0.72      7894

